Ich bin.; I am.
Sie ist spät angekommen, weil der Bus im Stau gestanden hat.;She arrived late because the bus was stuck in traffic.
Wir haben uns entschieden, am Sonntag ins Museum zu gehen.;We decided to go to the museum on Sunday.
Wenn ich Zeit habe, gehe ich oft spazieren und denke über alles nach.;When I have time, I often go for a walk and think about everything.
Ich habe meine Schlüssel verloren und musste lange danach suchen.;I lost my keys and had to search for them for a long time.
Letzten Monat habe ich einen Deutschkurs begonnen, um schneller zu lernen.;Last month I started a German course to learn faster.
Mein Bruder spielt jeden Tag Fußball, weil er sehr sportlich ist.;My brother plays football every day because he is very sporty.
Ich habe das Buch gelesen, das mir meine Lehrerin empfohlen hat.;I read the book that my teacher recommended to me.
Wir sind früh aufgestanden und haben den Sonnenaufgang gesehen.;We got up early and saw the sunrise.
Gestern hat es den ganzen Tag geregnet, deshalb war ich zu Hause.;It rained all day yesterday, therefore I stayed at home.
Ich habe meine Freundin getroffen, nachdem ich die Arbeit beendet hatte.;I met my friend after I finished work.
Er hat viel gelernt, um die Prüfung zu bestehen.;He studied a lot to pass the exam.
Wir haben Pizza bestellt, weil niemand kochen wollte.;We ordered pizza because nobody wanted to cook.
Ich fahre normalerweise mit dem Bus zur Arbeit, aber manchmal gehe ich zu Fuß.;I usually take the bus to work, but sometimes I walk.
Meine Kollegin hat mir geholfen, als ich ein Problem hatte.;My colleague helped me when I had a problem.
Ich habe mich gestern über die schlechte Nachricht sehr geärgert.;I was very annoyed about the bad news yesterday.
Wir haben das Spiel gewonnen und danach gefeiert.;We won the game and celebrated afterwards.
Ich habe mich entschieden, mehr Sport zu machen und gesünder zu leben.;I decided to do more sports and live healthier.
Sie hat den ganzen Tag gearbeitet und ist erst spät nach Hause gekommen.;She worked all day and only came home late.
Ich habe meine Meinung geändert, nachdem ich mehr Informationen bekommen habe.;I changed my opinion after I got more information.
Wir haben im Urlaub viele Fotos gemacht und neue Leute kennengelernt.;We took many photos on holiday and met new people.
Ich habe meinen Koffer gepackt, weil ich morgen verreise.;I packed my suitcase because I am traveling tomorrow.
Er ist im Supermarkt gewesen und hat frisches Obst gekauft.;He went to the supermarket and bought fresh fruit.
Als ich in Berlin war, habe ich viele Sehenswürdigkeiten besucht.;When I was in Berlin, I visited many sights.
Ich habe den Film nicht verstanden, weil er sehr kompliziert war.;I did not understand the movie because it was very complicated.
Wir haben uns getroffen, um über das Projekt zu sprechen.;We met to talk about the project.
Ich habe lange geschlafen, weil ich sehr spät ins Bett gegangen bin.;I slept a long time because I went to bed very late.
Sie hat mir gesagt, dass sie morgen keine Zeit hat.;She told me that she has no time tomorrow.
Ich möchte später in einer anderen Stadt wohnen, weil ich mehr Ruhe brauche.;I want to live in another city later because I need more peace.
Wir haben den Zug verpasst und mussten ein Taxi nehmen.;We missed the train and had to take a taxi.
Ich habe meine Hausaufgaben gemacht, während meine Freunde gespielt haben.;I did my homework while my friends were playing.
Er hat sein Handy verloren und konnte niemanden anrufen.;He lost his phone and could not call anyone.
Wir sind zusammen nach Hause gegangen, nachdem die Schule beendet war.;We went home together after school was over.
Ich arbeite heute im Büro.;I am working in the office today.
Sie lernt jeden Tag Deutsch.;She learns German every day.
Wir fahren morgen nach Berlin.;We travel to Berlin tomorrow.
Er hat gestern viel gearbeitet.;He worked a lot yesterday.
Ich sehe meinen Freund oft.;I see my friend often.
Sie kauft frisches Gemüse.;She buys fresh vegetables.
Wir essen später zu Hause.;We eat at home later.
Er trinkt keinen Kaffee.;He doesn’t drink coffee.
Ich lese gerade ein Buch.;I am reading a book right now.
Du sprichst sehr gut Deutsch.;You speak German very well.
Wir haben gestern Fußball gespielt.;We played football yesterday.
Ich bin früh aufgestanden.;I got up early.
Sie ist nach Hause gegangen.;She went home.
Er hat das Fenster geöffnet.;He opened the window.
Wir haben die Aufgabe gemacht.;We did the task.
Ich habe meine Tasche verloren.;I lost my bag.
Sie hat mich angerufen.;She called me.
Er hat schnell geantwortet.;He answered quickly.
Wir haben zusammen gekocht.;We cooked together.
Ich habe lange geschlafen.;I slept for a long time.
Ich muss heute arbeiten.;I have to work today.
Du musst mehr lernen.;You must study more.
Er kann gut schwimmen.;He can swim well.
Wir können morgen kommen.;We can come tomorrow.
Sie wollen ins Kino gehen.;They want to go to the cinema.
Ich möchte einen Tee.;I would like a tea.
Er darf nicht fahren.;He is not allowed to drive.
Wir sollen pünktlich sein.;We should be on time.
Ich will schlafen gehen.;I want to go to sleep.
Du kannst mir helfen.;You can help me.
Ich wohne in einer kleinen Wohnung.;I live in a small apartment.
Er arbeitet bei einer großen Firma.;He works at a big company.
Wir treffen uns im Park.;We meet in the park.
Sie sitzt am Tisch.;She sits at the table.
Das Bild hängt an der Wand.;The picture hangs on the wall.
Ich stelle das Glas auf den Tisch.;I put the glass on the table.
Er geht in die Küche.;He goes into the kitchen.
Wir bleiben im Haus.;We stay in the house.
Sie fährt durch die Stadt.;She drives through the city.
Ich laufe zum Bahnhof.;I walk to the station.
Ich habe keine Zeit.;I have no time.
Er hat viele Freunde.;He has many friends.
Wir haben Glück.;We are lucky.
Sie haben ein Problem.;They have a problem.
Ich finde das interessant.;I find that interesting.
Er findet den Film gut.;He finds the movie good.
Wir lernen neue Wörter.;We learn new words.
Sie wiederholt die Grammatik.;She repeats the grammar.
Ich mache meine Hausaufgaben.;I do my homework.
Er spielt am Abend Gitarre.;He plays guitar in the evening.
Komm bitte hierher!;Please come here!
Mach die Tür zu!;Close the door!
Hör gut zu!;Listen carefully!
Schreib das auf!;Write it down!
Lies den Text!;Read the text!
Gib mir das Buch!;Give me the book!
Hilf mir bitte!;Help me please!
Warte einen Moment!;Wait a moment!
Kauf frisches Brot!;Buy fresh bread!
Sprich langsam!;Speak slowly!
Der freundliche Lehrer erklärt den neuen Schülern heute die schwierige deutsche Grammatik im Klassenzimmer.;The friendly teacher explains difficult German grammar to the new students in the classroom today.
Meine ältere Schwester kauft im großen Supermarkt frisches Obst und Gemüse für die ganze Familie.;My older sister buys fresh fruit and vegetables in the big supermarket for the whole family.
Wir sind gestern Abend nach der Arbeit zusammen in ein gemütliches Restaurant in der Stadt gegangen.;We went together to a cozy restaurant in the city yesterday evening after work.
Der junge Mann hat seine Tasche im überfüllten Zug auf dem Weg nach Berlin verloren.;The young man lost his bag in the crowded train on the way to Berlin.
Die freundliche Verkäuferin empfiehlt dem Kunden ein teures, aber sehr gutes Produkt im Geschäft.;The friendly saleswoman recommends an expensive but very good product to the customer in the shop.
Ich habe gestern lange gelernt, weil ich heute eine wichtige Prüfung in der Schule hatte.;I studied for a long time yesterday because I had an important exam at school today.
Meine Eltern fahren jedes Jahr im Sommer mit dem Auto ans Meer in den Süden Europas.;My parents travel every year in summer by car to the sea in the south of Europe.
Der Arzt hat dem kranken Patienten eine starke Medizin gegen die Schmerzen im Krankenhaus gegeben.;The doctor gave the sick patient strong medicine against the pain in the hospital.
Wir haben am Wochenende mit unseren guten Freunden zusammen gekocht und einen Film gesehen.;We cooked together with our good friends on the weekend and watched a movie.
Der kleine Junge spielt jeden Nachmittag mit seinen Freunden im großen Park hinter dem Haus.;The little boy plays every afternoon with his friends in the big park behind the house.
Ich bin heute früh aufgestanden, weil ich einen wichtigen Termin in der Innenstadt hatte.;I got up early today because I had an important appointment in the city center.
Die Familie hat den ganzen Tag einen schönen Ausflug in die Berge mit viel Sonne gemacht.;The family made a nice trip to the mountains all day with lots of sunshine.
Er hat gestern seine Hausaufgaben schnell gemacht, bevor er mit seinen Freunden Fußball gespielt hat.;He did his homework quickly yesterday before playing football with his friends.
Die Lehrerin hat den Schülern eine lange und schwierige Aufgabe für das Wochenende gegeben.;The teacher gave the students a long and difficult task for the weekend.
Wir treffen uns morgen Nachmittag mit unseren Kollegen in einem kleinen Café in der Nähe.;We meet tomorrow afternoon with our colleagues in a small café nearby.
Ich habe meinen Schlüssel im Badezimmer auf dem weißen Tisch neben dem Fenster vergessen.;I forgot my key in the bathroom on the white table next to the window.
Der Bus ist heute Morgen wegen des starken Verkehrs in der Innenstadt sehr spät gekommen.;The bus arrived very late this morning because of heavy traffic in the city center.
Sie hat mir gestern eine lange Nachricht auf meinem Handy mit vielen Informationen geschickt.;She sent me a long message on my phone with a lot of information yesterday.
Wir haben im Urlaub viele interessante Sehenswürdigkeiten in einer alten europäischen Stadt besucht.;We visited many interesting sights in an old European city during the holiday.
Der freundliche Nachbar hilft der älteren Frau jeden Tag mit ihren schweren Einkaufstaschen.;The friendly neighbor helps the older woman every day with her heavy shopping bags.
Der freundliche Lehrer erklärt den neuen Schülern die Hausaufgabe sehr ausführlich im Unterricht.;The friendly teacher explains the homework very thoroughly to the new students in class.
Meine Eltern haben gestern im Restaurant ein großes und leckeres Abendessen bestellt.;My parents ordered a big and tasty dinner in the restaurant yesterday.
Wir sind am Morgen früh mit dem Zug in eine andere Stadt gefahren.;We traveled by train to another city early in the morning.
Der kleine Junge hat seine Tasche im Park neben der Bank vergessen.;The little boy forgot his bag in the park next to the bench.
Die Studentin lernt jeden Abend neue Wörter mit einem modernen Sprachbuch.;The student learns new words every evening with a modern language book.
Ich habe gestern meine Freunde nach der Arbeit im Café getroffen.;I met my friends in the café after work yesterday.
Der Arzt untersucht den Patienten sorgfältig im hellen Krankenhauszimmer.;The doctor examines the patient carefully in the bright hospital room.
Wir haben am Wochenende einen langen Spaziergang durch die Stadt gemacht.;We took a long walk through the city on the weekend.
Die Verkäuferin hat dem Kunden ein günstiges und gutes Produkt empfohlen.;The saleswoman recommended an affordable and good product to the customer.
Ich fahre jeden Tag mit dem Fahrrad zur Schule durch den Park.;I ride my bike to school every day through the park.
Meine Schwester hat ihre Hausaufgaben schnell und ordentlich auf dem Tisch gemacht.;My sister did her homework quickly and neatly on the table.
Der Mann wartet seit einer Stunde an der Bushaltestelle im Regen.;The man has been waiting for an hour at the bus stop in the rain.
Wir haben im Urlaub viele schöne Orte an der Küste besucht.;We visited many beautiful places on the coast during the holiday.
Der Schüler schreibt einen langen Text über seine Familie im Deutschunterricht.;The student writes a long text about his family in German class.
Die Kinder spielen jeden Nachmittag laut und fröhlich im großen Garten.;The children play loudly and happily in the big garden every afternoon.
Ich habe meine Tasche in der Schule unter dem Tisch gefunden.;I found my bag at school under the table.
Der Fahrer hat das Auto vorsichtig durch die enge Straße gefahren.;The driver drove the car carefully through the narrow street.
Wir treffen unsere Freunde oft am Wochenende in einem kleinen Park.;We often meet our friends on the weekend in a small park.
Die Lehrerin gibt den Schülern schwierige Aufgaben für die Prüfung.;The teacher gives the students difficult tasks for the exam.
Ich bin gestern spät nach Hause gekommen wegen des starken Verkehrs.;I came home late yesterday because of heavy traffic.
Der Junge liest jeden Abend ein spannendes Buch vor dem Schlafen.;The boy reads an exciting book every evening before sleeping.
Wir haben zusammen gekocht und dabei Musik in der Küche gehört.;We cooked together and listened to music in the kitchen.
Die Frau kauft frisches Brot im kleinen Bäckerladen an der Ecke.;The woman buys fresh bread in the small bakery at the corner.
Ich habe meinen Schlüssel im Auto auf dem Sitz liegen lassen.;I left my key in the car on the seat.
Der Tourist fragt den Polizisten nach dem Weg zum Bahnhof.;The tourist asks the police officer for the way to the station.
Wir sind gestern Abend ins Kino gegangen und haben einen Film gesehen.;We went to the cinema yesterday evening and watched a movie.
Der Mann arbeitet jeden Tag in einem großen Büro im Zentrum.;The man works every day in a big office in the center.
Ich habe lange geschlafen, weil ich sehr müde von der Arbeit war.;I slept a long time because I was very tired from work.
Die Kinder haben im Schnee einen großen Schneemann gebaut.;The children built a big snowman in the snow.
Der Kellner bringt dem Gast das Essen sehr schnell an den Tisch.;The waiter brings the food to the guest very quickly at the table.
Meine Freunde und ich haben einen Ausflug in die Berge gemacht.;My friends and I went on a trip to the mountains.
Ich lerne Deutsch, weil ich später in Deutschland arbeiten möchte.;I learn German because I want to work in Germany later.
Der Bus kommt heute wegen des Wetters sehr spät an.;The bus arrives very late today because of the weather.
Wir haben unsere Nachbarn gestern im Treppenhaus getroffen und gesprochen.;We met and talked with our neighbors in the stairwell yesterday.
Die Schülerin hat die schwierige Aufgabe ohne Hilfe richtig gelöst.;The student solved the difficult task correctly without help.
Ich gehe jeden Morgen zu Fuß zur Arbeit durch die Stadt.;I walk to work every morning through the city.
Der Hund läuft schnell durch den großen Park hinter dem Haus.;The dog runs quickly through the big park behind the house.
Wir haben am Abend zusammen Fernsehen geschaut und Pizza gegessen.;We watched TV together in the evening and ate pizza.
Die Frau hat ihre Tasche im Zug unter dem Sitz vergessen.;The woman forgot her bag under the seat on the train.
Ich schreibe meiner Freundin jeden Tag eine kurze Nachricht.;I write my friend a short message every day.
Der Schüler hat den Text laut im Klassenzimmer vorgelesen.;The student read the text aloud in the classroom.
Wir sind früh aufgestanden und haben den Sonnenaufgang gesehen.;We got up early and saw the sunrise.
Die Familie verbringt den Sommer oft an einem warmen See.;The family often spends summer at a warm lake.
Ich habe meine Freunde lange nicht gesehen und vermisse sie.;I haven’t seen my friends for a long time and miss them.
Der Lehrer korrigiert die Fehler in den Heften der Schüler.;The teacher corrects the mistakes in the students’ notebooks.
Wir fahren morgen mit dem Auto an die deutsche Grenze.;We travel by car to the German border tomorrow.
Die Frau hat im Supermarkt viele schwere Taschen getragen.;The woman carried many heavy bags in the supermarket.
Ich habe den ganzen Tag gearbeitet und bin jetzt sehr müde.;I worked all day and am very tired now.
Der Junge spielt mit seinem neuen Ball im Hof.;The boy plays with his new ball in the yard.
Wir haben den Zug knapp verpasst und mussten warten.;We just missed the train and had to wait.
Die Studentin hat sich intensiv auf die Prüfung vorbereitet.;The student prepared intensively for the exam.
Ich kaufe oft frisches Gemüse auf dem Markt in der Stadt.;I often buy fresh vegetables at the market in the city.
Der Mann hat seinen Pass im Hotelzimmer vergessen.;The man forgot his passport in the hotel room.
Wir haben zusammen einen Geburtstag im Restaurant gefeiert.;We celebrated a birthday together in the restaurant.
Die Kinder haben draußen im Regen gespielt und gelacht.;The children played and laughed outside in the rain.
Ich habe meine Meinung nach dem Gespräch geändert.;I changed my opinion after the conversation.
Der Arzt gibt dem Patienten eine wichtige medizinische Erklärung.;The doctor gives the patient an important medical explanation.
Wir sind durch den langen Tunnel unter der Stadt gefahren.;We drove through the long tunnel under the city.
Die Lehrerin hat den Schülern neue Grammatik erklärt.;The teacher explained new grammar to the students.
Ich habe mein Handy im Bus auf dem Sitz liegen lassen.;I left my phone on the seat in the bus.
Der Mann liest die Zeitung jeden Morgen beim Frühstück.;The man reads the newspaper every morning at breakfast.
Wir haben gestern lange über das Problem gesprochen.;We talked about the problem for a long time yesterday.
Die Frau hat frisches Wasser aus der Küche gebracht.;The woman brought fresh water from the kitchen.
Ich gehe am Abend oft mit meinem Hund spazieren.;I often walk my dog in the evening.
Der Schüler hat die Aufgabe mit Hilfe des Lehrers gemacht.;The student did the task with the teacher’s help.
Wir haben im Sommer viele Städte in Europa besucht.;We visited many cities in Europe in summer.
Die Kinder haben im Unterricht ein Lied gesungen.;The children sang a song in class.
Ich habe mich über die gute Nachricht sehr gefreut.;I was very happy about the good news.
Der Fahrer fährt langsam durch die enge Straße.;The driver drives slowly through the narrow street.
Wir haben am Wochenende lange geschlafen und entspannt.;We slept long and relaxed on the weekend.
Der Tourist hat gestern viele Fotos in der Altstadt gemacht.;The tourist took many photos in the old town yesterday.
Wir haben im Museum interessante Bilder und Skulpturen gesehen.;We saw interesting paintings and sculptures in the museum.
Die Familie fährt jedes Jahr im Sommer ans Meer in den Süden.;The family travels to the sea in the south every summer.
Ich habe meinen Reisepass im Hotelzimmer auf dem Tisch vergessen.;I forgot my passport on the table in the hotel room.
Der Zug ist heute wegen eines Problems sehr spät angekommen.;The train arrived very late today because of a problem.
Wir sind durch den langen Tunnel unter der Stadt gefahren.;We drove through the long tunnel under the city.
Die Kinder haben im Park mit einem Ball gespielt und gelacht.;The children played with a ball in the park and laughed.
Ich habe gestern eine interessante Stadtführung durch Berlin gemacht.;I took an interesting city tour through Berlin yesterday.
Der Fahrer hat das Auto vor dem Hotel geparkt.;The driver parked the car in front of the hotel.
Wir haben im Urlaub viele neue Leute kennengelernt.;We met many new people on holiday.
Der Arzt hat mir eine Medizin gegen die Erkältung gegeben.;The doctor gave me medicine for the cold.
Ich war gestern im Krankenhaus und habe meine Freundin besucht.;I was at the hospital yesterday and visited my friend.
Die Krankenschwester hilft den Patienten jeden Tag im Krankenhaus.;The nurse helps the patients every day in the hospital.
Ich habe starke Kopfschmerzen und muss heute zu Hause bleiben.;I have a strong headache and must stay home today.
Der Patient wartet im Wartezimmer auf den Arzttermin.;The patient waits in the waiting room for the doctor’s appointment.
Wir haben im Fitnessstudio zusammen trainiert.;We trained together in the gym.
Ich gehe jeden Morgen joggen im Park.;I go jogging in the park every morning.
Die Frau hat sich beim Sport verletzt.;The woman got injured during sports.
Der Trainer erklärt die Übungen sehr klar und langsam.;The coach explains the exercises very clearly and slowly.
Ich möchte gesünder leben und mehr Sport machen.;I want to live healthier and do more sports.
Wir haben im Restaurant italienisches Essen bestellt.;We ordered Italian food in the restaurant.
Der Kellner hat uns eine Speisekarte gebracht.;The waiter brought us a menu.
Ich habe einen großen Burger mit Pommes gegessen.;I ate a big burger with fries.
Die Gäste haben den Wein sehr genossen.;The guests enjoyed the wine very much.
Wir sind in ein kleines Café gegangen und haben Kaffee getrunken.;We went to a small café and drank coffee.
Die Bäckerei verkauft frisches Brot und süße Kuchen.;The bakery sells fresh bread and sweet cakes.
Ich habe heute Morgen ein Sandwich zum Frühstück gegessen.;I ate a sandwich for breakfast this morning.
Der Koch bereitet leckeres Essen in der Küche vor.;The cook prepares tasty food in the kitchen.
Wir haben die Rechnung am Ende bezahlt.;We paid the bill at the end.
Die Familie kocht jeden Abend zusammen zu Hause.;The family cooks together at home every evening.
Ich habe meine Hausaufgaben gestern Abend gemacht.;I did my homework last night.
Der Schüler hat den Text im Unterricht laut gelesen.;The student read the text aloud in class.
Die Lehrerin erklärt die Grammatik mit vielen Beispielen.;The teacher explains grammar with many examples.
Wir lernen neue Wörter mit einer App auf dem Handy.;We learn new words with an app on the phone.
Ich habe den Test nicht bestanden und muss mehr lernen.;I did not pass the test and must study more.
Die Schüler schreiben eine Prüfung am Freitag.;The students are taking an exam on Friday.
Ich habe mein Heft in der Schule vergessen.;I forgot my notebook at school.
Wir haben im Unterricht eine Diskussion geführt.;We had a discussion in class.
Der Lehrer hat die Fehler korrigiert.;The teacher corrected the mistakes.
Ich möchte meine Deutschkenntnisse verbessern.;I want to improve my German skills.
Ich arbeite in einem Büro im Stadtzentrum.;I work in an office in the city center.
Der Chef hat ein wichtiges Meeting organisiert.;The boss organized an important meeting.
Wir haben ein neues Projekt im Team begonnen.;We started a new project in the team.
Die Kollegin hilft mir bei der Arbeit.;The colleague helps me at work.
Ich habe gestern Überstunden gemacht.;I worked overtime yesterday.
Der Mitarbeiter hat einen Fehler gemacht.;The employee made a mistake.
Wir sprechen jeden Tag über die Aufgaben.;We talk about tasks every day.
Ich habe eine E-Mail an meinen Chef geschrieben.;I wrote an email to my boss.
Die Firma verkauft Produkte in viele Länder.;The company sells products to many countries.
Ich suche einen neuen Job in Deutschland.;I am looking for a new job in Germany.
Wir sind mit dem Zug nach München gefahren.;We traveled by train to Munich.
Der Bus kommt normalerweise pünktlich.;The bus usually arrives on time.
Ich habe mein Ticket online gekauft.;I bought my ticket online.
Der Flughafen ist sehr groß und modern.;The airport is very big and modern.
Wir haben lange auf den Flug gewartet.;We waited a long time for the flight.
Der Fahrer fährt sehr vorsichtig durch die Stadt.;The driver drives very carefully through the city.
Ich habe ein Taxi zum Hotel genommen.;I took a taxi to the hotel.
Wir haben den Bahnhof schnell gefunden.;We found the train station quickly.
Der Urlaub war sehr schön und entspannend.;The holiday was very nice and relaxing.
Ich möchte nächstes Jahr nach Spanien reisen.;I want to travel to Spain next year.
Das Wetter ist heute sehr kalt und windig.;The weather is very cold and windy today.
Gestern hat es den ganzen Tag geregnet.;It rained all day yesterday.
Im Sommer scheint die Sonne sehr lange.;In summer the sun shines for a long time.
Der Himmel ist heute blau und wolkenlos.;The sky is blue and cloudless today.
Im Winter liegt viel Schnee in den Bergen.;In winter there is a lot of snow in the mountains.
Wir haben den Sonnenuntergang am Strand gesehen.;We saw the sunset at the beach.
Der Wind hat die Bäume stark bewegt.;The wind moved the trees strongly.
Ich mag warmes Wetter mehr als kaltes Wetter.;I like warm weather more than cold weather.
Es ist heute sehr heiß und sonnig.;It is very hot and sunny today.
Der Regen hat die Straßen nass gemacht.;The rain made the streets wet.
Ich habe meine Schlüssel im Auto vergessen.;I forgot my keys in the car.
Der Hund läuft schnell durch den Garten.;The dog runs quickly through the garden.
Die Katze schläft auf dem Sofa im Wohnzimmer.;The cat sleeps on the sofa in the living room.
Wir haben einen neuen Fernseher gekauft.;We bought a new TV.
Ich habe mein Handy verloren und suche es.;I lost my phone and am looking for it.
Der Junge spielt mit seinem neuen Spielzeug.;The boy plays with his new toy.
Wir haben das Wohnzimmer neu eingerichtet.;We redecorated the living room.
Ich habe eine Nachricht von meiner Freundin bekommen.;I received a message from my friend.
Die Familie wohnt in einem kleinen Haus.;The family lives in a small house.
Ich habe den ganzen Tag Musik gehört.;I listened to music all day.
Ich stehe jeden Morgen um sieben Uhr auf.;I get up every morning at seven.
Wir gehen abends oft spazieren.;We often go for a walk in the evening.
Ich habe keine Zeit und bin sehr beschäftigt.;I have no time and am very busy.
Der Mann liest die Zeitung im Zug.;The man reads the newspaper on the train.
Wir haben ein Geschenk für den Geburtstag gekauft.;We bought a present for the birthday.
Ich habe meine Freunde im Park getroffen.;I met my friends in the park.
Der Lehrer hat die Aufgabe erklärt.;The teacher explained the task.
Wir haben zusammen einen Film gesehen.;We watched a movie together.
Ich habe einen Brief an meine Familie geschrieben.;I wrote a letter to my family.
Der Zug ist gerade angekommen.;The train has just arrived.
Meine Familie frühstückt jeden Morgen zusammen in der Küche.;My family eats breakfast together every morning in the kitchen.
Ich habe gestern meine Hausaufgaben sehr schnell gemacht.;I did my homework very quickly yesterday.
Der Lehrer erklärt die Aufgabe langsam und sehr deutlich im Unterricht.;The teacher explains the task slowly and very clearly in class.
Wir sind am Wochenende mit dem Zug ans Meer gefahren.;We traveled to the sea by train on the weekend.
Die Kinder spielen jeden Nachmittag im großen Garten hinter dem Haus.;The children play every afternoon in the big garden behind the house.
Ich habe meine Tasche im Bus auf dem Sitz vergessen.;I forgot my bag on the seat in the bus.
Der Arzt gibt dem Patienten eine wichtige Medizin gegen Schmerzen.;The doctor gives the patient important medicine for pain.
Wir haben gestern Abend zusammen einen Film im Kino gesehen.;We watched a movie together at the cinema last night.
Die Verkäuferin hilft den Kunden freundlich im Supermarkt.;The saleswoman helps the customers kindly in the supermarket.
Ich gehe jeden Morgen zu Fuß zur Arbeit durch die Stadt.;I walk to work every morning through the city.
Der Schüler hat die schwierige Aufgabe ohne Hilfe gelöst.;The student solved the difficult task without help.
Wir haben im Urlaub viele schöne Fotos am Strand gemacht.;We took many beautiful photos at the beach on holiday.
Ich habe heute Morgen verschlafen und bin spät zur Schule gekommen.;I overslept this morning and came late to school.
Die Familie besucht oft ihre Großeltern am Wochenende.;The family often visits their grandparents on the weekend.
Der Bus ist heute wegen des Verkehrs sehr spät gekommen.;The bus arrived very late today because of traffic.
Ich habe meinen Schlüssel im Schlafzimmer auf dem Tisch gefunden.;I found my key on the table in the bedroom.
Die Lehrerin korrigiert die Fehler in den Heften der Schüler.;The teacher corrects the mistakes in the students’ notebooks.
Wir essen heute Abend Pizza mit unseren Freunden zu Hause.;We are eating pizza at home with our friends tonight.
Der Mann arbeitet jeden Tag in einem großen Büro im Zentrum.;The man works every day in a big office in the center.
Ich lerne Deutsch, weil ich in Deutschland arbeiten möchte.;I learn German because I want to work in Germany.
Meine Schwester hat gestern ein neues Kleid im Geschäft gekauft.;My sister bought a new dress in the shop yesterday.
Wir sind durch den Park gegangen und haben frische Luft geatmet.;We walked through the park and breathed fresh air.
Der Hund läuft schnell im Garten hinter dem Haus.;The dog runs quickly in the garden behind the house.
Ich habe meine Freunde im Café in der Stadt getroffen.;I met my friends in the café in the city.
Der Fahrer fährt sehr vorsichtig durch die enge Straße.;The driver drives very carefully through the narrow street.
Wir haben den ganzen Tag im Museum verbracht.;We spent the whole day in the museum.
Ich habe lange geschlafen, weil ich sehr müde war.;I slept a long time because I was very tired.
Die Kinder haben im Schnee einen großen Schneemann gebaut.;The children built a big snowman in the snow.
Der Kellner bringt das Essen schnell an den Tisch.;The waiter brings the food quickly to the table.
Wir haben im Restaurant lecker gegessen und Wein getrunken.;We ate delicious food and drank wine in the restaurant.
Ich habe meine Hausaufgaben gestern Abend im Zimmer gemacht.;I did my homework yesterday evening in my room.
Der Schüler liest jeden Abend ein spannendes Buch.;The student reads an exciting book every evening.
Wir haben eine lange E-Mail an unsere Lehrerin geschrieben.;We wrote a long email to our teacher.
Die Lehrerin erklärt die Grammatik mit vielen einfachen Beispielen.;The teacher explains grammar with many simple examples.
Ich habe den Test nicht bestanden und muss mehr lernen.;I did not pass the test and must study more.
Die Schüler schreiben eine Prüfung am Freitag im Klassenzimmer.;The students take an exam on Friday in the classroom.
Wir lernen neue Wörter mit einer App auf dem Handy.;We learn new words with an app on the phone.
Ich habe mein Heft in der Schule vergessen.;I forgot my notebook at school.
Der Lehrer hat die Aufgabe sehr gut erklärt.;The teacher explained the task very well.
Wir haben im Unterricht viel gesprochen und diskutiert.;We spoke and discussed a lot in class.
Ich arbeite in einem kleinen Büro im Stadtzentrum.;I work in a small office in the city center.
Der Chef hat ein wichtiges Meeting heute Morgen organisiert.;The boss organized an important meeting this morning.
Wir haben zusammen ein neues Projekt begonnen.;We started a new project together.
